,height,weight,url,name,firstyear,lastyear,primary_pos
15258,6-03,195,player.php?p=saundde01,Dennis Saunders,1970,1970,P
15259,6-00,172,player.php?p=saunddo01,Doug Saunders,1993,1993,SS
15260,6-03,215,player.php?p=saundjo01,Joe Saunders,2005,2014,P
15261,6-04,225,player.php?p=saundmi01,Michael Saunders,2009,2017,RF
15262,6-02,205,player.php?p=saundru01,Rusty Saunders,1927,1927,LF
15263,6-02,205,player.php?p=saundto01,Tony Saunders,1997,1999,P
15264,6-01,223,player.php?p=saupowa01,Warwick Saupold,2016,2018,P
15265,5-09,158,player.php?p=sauteal01,Al Sauter,1890,1890,2B
15266,6-04,170,player.php?p=sauveri01,Rich Sauveur,1986,2000,P
15267,6-02,180,player.php?p=savagbo01,Bob Savage,1942,1949,P
15268,6-00,180,player.php?p=savagdo01,Don Savage,1944,1945,LF
15269,6-03,190,player.php?p=savagja01,Jack Savage,1987,1990,P
15270,5-05,150,player.php?p=savagji01,Jimmie Savage,1912,1915,RF
15271,6-01,185,player.php?p=savagte01,Ted Savage,1962,1971,2B
15272,5-09,165,player.php?p=saverbo01,Bob Saverine,1959,1967,LF
15273,6-03,235,player.php?p=saverjo01,Joe Savery,2011,2014,P
15274,6-01,180,player.php?p=saviddo01,Don Savidge,1929,1929,P
15275,6-02,210,player.php?p=savidra01,Ralph Savidge,1908,1909,P
15276,5-11,175,player.php?p=savramo01,Moe Savransky,1954,1954,P
15277,5-10,210,player.php?p=sawatca01,Carl Sawatski,1948,1963,CF
15278,5-11,160,player.php?p=sawyeca01,Carl Sawyer,1915,1916,3B
15279,6-02,205,player.php?p=sawyeri01,Rick Sawyer,1974,1977,P
15280,Unknown,Unknown,player.php?p=sawyewi01,Will Sawyer,1883,1883,P
15281,6-00,185,player.php?p=saxda01,Dave Sax,1982,1987,1B
15282,5-08,164,player.php?p=saxol01,Ollie Sax,1928,1928,3B
15283,5-11,185,player.php?p=saxst01,Steve Sax,1981,1994,RF
15284,Unknown,Unknown,player.php?p=sayji01,Jimmy Say,1882,1887,SS
15285,5-07,145,player.php?p=saylo01,Lou Say,1880,1884,2B
15286,6-02,175,player.php?p=saylebi01,Bill Sayles,1939,1943,P
15287,6-00,172,player.php?p=sayloph01,Phil Saylor,1891,1891,P
15288,6-04,210,player.php?p=sborzja01,Jay Sborz,2010,2010,P
15289,6-02,220,player.php?p=scahiro01,Rob Scahill,2012,2017,P
15290,5-11,178,player.php?p=scalaje01,Jerry Scala,1948,1950,LF
15291,6-00,185,player.php?p=scalebo01,Bobby Scales,2009,2010,RF
15292,5-07,170,player.php?p=scalzjo01,Johnny Scalzi,1931,1931,RF
15293,5-06,160,player.php?p=scalzsk01,Skeeter Scalzi,1939,1939,3B
15294,6-08,210,player.php?p=scanlbo01,Bob Scanlan,1991,2001,P
15295,5-08,165,player.php?p=scanldo01,Doc Scanlan,1903,1911,P
15296,6-01½,175,player.php?p=scanlfr01,Frank Scanlan,1909,1909,P
15297,6-01,186,player.php?p=scanlmo01,Mort Scanlan,1890,1890,1B
15298,6-00,180,player.php?p=scanlpa01,Patrick Scanlan,1884,1884,LF
15299,6-00,180,player.php?p=scanlpa02,Pat Scanlon,1974,1977,LF
15300,6-01,180,player.php?p=scantpa01,Pat Scantlebury,1956,1956,P
15301,6-01,185,player.php?p=scarbra02,Randy Scarbery,1979,1980,P
15302,6-00,185,player.php?p=scarbra01,Ray Scarborough,1942,1953,P
15303,6-03,200,player.php?p=scarcma01,Mac Scarce,1972,1978,P
15304,5-10½,165,player.php?p=scarrru01,Russ Scarritt,1929,1932,CF
15305,5-11,185,player.php?p=scarsle01,Les Scarsella,1935,1940,RF
15306,6-02,195,player.php?p=scarsst01,Steve Scarsone,1992,1999,CF
15307,5-11,180,player.php?p=schaapa01,Paul Schaal,1964,1974,SS
15308,5-11,142,player.php?p=schacal01,Al Schacht,1919,1921,P
15309,5-11,170,player.php?p=schacsi01,Sid Schacht,1950,1951,P
15310,6-00,190,player.php?p=schacha01,Hal Schacker,1945,1945,P
15311,5-09,175,player.php?p=schaege01,Germany Schaefer,1912,1918,CF
15312,5-10,170,player.php?p=schaeje01,Jeff Schaefer,1989,1994,1B
15313,6-02½,175,player.php?p=schaeha01,Harry Schaeffer,1952,1952,P
15314,6-05,215,player.php?p=schaema01,Mark Schaeffer,1972,1972,P
15315,5-09,143,player.php?p=schafha01,Harry Schafer,1876,1878,SS
15316,6-01,205,player.php?p=schafjo02,Jordan Schafer,2009,2015,RF
